,COMMUNITY AREA NAME,BUILDING_SUBTYPE,TOTAL KWH,TOTAL THERMS,TOTAL POPULATION,TOTAL UNITS,AVERAGE BUILDING AGE,AVERAGE HOUSESIZE
9679,Belmont Cragin,Single Family,118331.0,22819.0,52.0,15.0,73.07,3.71
9681,Belmont Cragin,Single Family,54002.0,9495.0,24.0,8.0,58.86,3.0
9682,Belmont Cragin,Single Family,102044.0,22391.0,54.0,14.0,79.62,3.86
9683,Belmont Cragin,Single Family,124917.0,22299.0,51.0,17.0,65.6,3.4
9684,Belmont Cragin,Single Family,153069.0,27089.0,58.0,21.0,75.84,2.9
9685,Belmont Cragin,Single Family,94475.0,14631.0,33.0,11.0,65.45,3.0
9686,Belmont Cragin,Multi < 7,43767.0,10859.0,60.0,28.0,52.0,2.73
9687,Belmont Cragin,Single Family,52813.0,6188.0,60.0,28.0,91.5,2.73
9688,Belmont Cragin,Single Family,114099.0,13816.0,49.0,12.0,66.36,4.08
9689,Belmont Cragin,Multi < 7,27469.0,3966.0,58.0,17.0,97.0,3.41
9690,Belmont Cragin,Single Family,144222.0,18096.0,58.0,17.0,63.86,3.41
9691,Belmont Cragin,Single Family,174449.0,25229.0,72.0,20.0,65.33,3.6
9692,Belmont Cragin,Multi 7+,27185.0,7568.0,121.0,30.0,81.0,4.03
9693,Belmont Cragin,Single Family,126657.0,21729.0,40.0,18.0,70.29,2.35
9694,Belmont Cragin,Single Family,147351.0,22826.0,48.0,17.0,67.47,3.2
9695,Belmont Cragin,Single Family,140249.0,24971.0,48.0,18.0,70.89,2.67
9696,Belmont Cragin,Multi < 7,29166.0,3794.0,108.0,31.0,0.0,3.48
9697,Belmont Cragin,Multi < 7,34001.0,9299.0,53.0,26.0,58.33,2.52
9698,Belmont Cragin,Single Family,75404.0,12267.0,47.0,10.0,79.88,4.7
9699,Belmont Cragin,Single Family,168717.0,25952.0,56.0,18.0,63.39,3.11
9700,Belmont Cragin,Multi < 7,9515.0,2682.0,59.0,19.0,78.0,3.11
9701,Belmont Cragin,Single Family,166017.0,24496.0,59.0,19.0,73.07,3.11
9702,Belmont Cragin,Single Family,61607.0,7525.0,33.0,8.0,58.83,4.13
9703,Belmont Cragin,Single Family,75337.0,7392.0,26.0,5.0,56.4,5.2
9704,Belmont Cragin,Single Family,108809.0,21389.0,61.0,16.0,71.4,3.81
9705,Belmont Cragin,Single Family,182126.0,24285.0,65.0,20.0,61.26,3.42
9706,Belmont Cragin,Single Family,161786.0,18370.0,59.0,17.0,67.27,3.47
9707,Belmont Cragin,Single Family,163356.0,19546.0,72.0,15.0,66.07,4.8
9708,Belmont Cragin,Single Family,169387.0,27098.0,78.0,23.0,76.95,3.55
9709,Belmont Cragin,Single Family,160744.0,24163.0,56.0,21.0,67.75,2.8
9710,Belmont Cragin,Single Family,122415.0,19786.0,73.0,20.0,65.5,3.84
9711,Belmont Cragin,Single Family,138648.0,24058.0,72.0,21.0,70.2,3.6
9712,Belmont Cragin,Single Family,159383.0,25333.0,72.0,22.0,71.25,3.43
9713,Belmont Cragin,Single Family,150528.0,24267.0,68.0,21.0,71.58,3.24
9714,Belmont Cragin,Single Family,205818.0,26969.0,99.0,21.0,76.05,5.21
9715,Belmont Cragin,Single Family,173795.0,27001.0,71.0,20.0,74.8,3.94
9716,Belmont Cragin,Single Family,155392.0,30294.0,76.0,21.0,75.35,3.8
9717,Belmont Cragin,Single Family,134247.0,23847.0,59.0,18.0,69.72,3.28
9718,Belmont Cragin,Single Family,136455.0,25689.0,113.0,28.0,72.53,4.52
9719,Belmont Cragin,Multi < 7,21854.0,2413.0,71.0,22.0,73.0,3.23
9720,Belmont Cragin,Single Family,123787.0,20057.0,71.0,22.0,54.0,3.23
9721,Belmont Cragin,Single Family,153674.0,22637.0,103.0,25.0,71.11,4.12
9723,Belmont Cragin,Multi < 7,36037.0,6216.0,96.0,24.0,71.67,4.17
9724,Belmont Cragin,Single Family,95783.0,11621.0,96.0,24.0,63.92,4.17
9726,Belmont Cragin,Multi < 7,61121.0,6474.0,46.0,13.0,53.0,3.54
9727,Belmont Cragin,Multi < 7,192086.0,29781.0,103.0,29.0,72.63,3.81
9728,Belmont Cragin,Single Family,8162.0,1424.0,103.0,29.0,101.5,3.81
9729,Belmont Cragin,Multi < 7,7878.0,1301.0,54.0,18.0,84.0,3.0
9730,Belmont Cragin,Single Family,79436.0,16469.0,54.0,18.0,71.08,3.0
9731,Belmont Cragin,Single Family,131724.0,16558.0,57.0,14.0,84.0,4.38
9732,Belmont Cragin,Single Family,105960.0,23903.0,81.0,19.0,80.0,4.26
9733,Belmont Cragin,Multi < 7,41759.0,7317.0,101.0,20.0,40.0,5.05
9734,Belmont Cragin,Single Family,128127.0,18457.0,101.0,20.0,80.15,5.05
9735,Belmont Cragin,Multi < 7,24415.0,4257.0,92.0,21.0,67.5,4.38
9736,Belmont Cragin,Single Family,146851.0,19375.0,92.0,21.0,71.07,4.38
9737,Belmont Cragin,Multi < 7,8689.0,1537.0,69.0,19.0,67.0,3.63
9738,Belmont Cragin,Single Family,138308.0,20036.0,69.0,19.0,70.6,3.63
9739,Belmont Cragin,Multi < 7,9659.0,1728.0,109.0,23.0,80.0,5.19
9740,Belmont Cragin,Single Family,135363.0,20936.0,109.0,23.0,73.93,5.19
9741,Belmont Cragin,Multi < 7,17826.0,2192.0,74.0,22.0,79.5,3.89
9742,Belmont Cragin,Single Family,157209.0,21681.0,74.0,22.0,68.0,3.89
9743,Belmont Cragin,Multi < 7,36150.0,4790.0,79.0,21.0,71.0,3.76
9744,Belmont Cragin,Single Family,98639.0,19126.0,79.0,21.0,65.0,3.76
