,COMMUNITY AREA NAME,BUILDING_SUBTYPE,TOTAL KWH,TOTAL THERMS,TOTAL POPULATION,TOTAL UNITS,AVERAGE BUILDING AGE,AVERAGE HOUSESIZE
0,Archer Heights,Multi < 7,,10917.0,89.0,24.0,71.33,3.87
1,Ashburn,Multi 7+,82064.0,,112.0,67.0,41.0,1.81
8,Austin,Multi 7+,41497.0,,79.0,31.0,99.0,2.93
9,Austin,Multi 7+,8596.0,,84.0,33.0,99.0,3.82
10,Austin,Multi < 7,11529.0,,0.0,0.0,0.0,0.0
19,Avondale,Multi < 7,,1390.0,33.0,16.0,101.0,2.2
22,Beverly,Single Family,,784.0,2.0,1.0,51.0,2.0
29,Chatham,Multi 7+,88713.0,,144.0,67.0,47.0,2.4
30,Chatham,Multi < 7,33543.0,,2.0,10.0,0.0,1.0
36,Chicago Lawn,Multi 7+,11309.0,,61.0,29.0,43.0,3.21
39,Clearing,Multi < 7,,2547.0,60.0,25.0,0.0,2.61
40,Clearing,Multi < 7,41881.0,,114.0,76.0,39.0,1.65
41,Dunning,Multi < 7,,1610.0,51.0,16.0,79.0,3.19
43,Dunning,Multi 7+,18887.0,,48.0,18.0,0.0,3.2
44,East Garfield Park,Multi < 7,,2737.0,21.0,5.0,111.0,5.25
46,East Garfield Park,Single Family,,1146.0,6.0,2.0,126.0,3.0
50,East Side,Multi < 7,,2273.0,56.0,18.0,121.0,3.5
51,East Side,Multi < 7,,3767.0,22.0,4.0,97.0,5.5
53,Edgewater,Multi 7+,,3812.0,39.0,17.0,0.0,2.44
55,Edison Park,Multi < 7,,5013.0,49.0,38.0,53.0,1.32
59,Englewood,Single Family,6057.0,,95.0,36.0,97.0,3.65
61,Englewood,Multi 7+,,211.0,51.0,21.0,99.0,2.68
65,Gage Park,Multi 7+,17660.0,,88.0,28.0,41.0,3.52
67,Gage Park,Multi < 7,,6994.0,144.0,33.0,0.0,4.5
69,Garfield Ridge,Multi < 7,,1964.0,46.0,17.0,97.0,2.71
70,Garfield Ridge,Multi 7+,70423.0,,20.0,14.0,45.0,1.67
76,Hermosa,Multi < 7,20917.0,,18.0,9.0,130.0,2.25
82,Humboldt Park,Multi 7+,,833.0,96.0,32.0,91.0,3.43
86,Humboldt Park,Multi < 7,4958.0,,63.0,15.0,111.0,4.2
89,Hyde Park,Single Family,,46982.0,267.0,151.0,0.0,1.96
91,Jefferson Park,Multi < 7,,6067.0,77.0,29.0,85.33,2.75
92,Jefferson Park,Multi < 7,,3708.0,57.0,24.0,80.0,2.71
93,Jefferson Park,Multi < 7,,1967.0,23.0,12.0,83.0,2.09
95,Lakeview,Multi < 7,,5698.0,88.0,34.0,12.0,2.59
96,Lakeview,Single Family,119343.0,,69.0,58.0,0.0,1.3
97,Lakeview,Multi 7+,41662.0,14797.0,74.0,45.0,12.0,2.0
99,Lakeview,Multi < 7,,2353.0,235.0,139.0,22.0,1.81
103,Lincoln Park,Multi 7+,15665.0,4780.0,61.0,22.0,12.0,2.77
106,Lincoln Park,Multi 7+,86004.0,,9.0,4.0,103.0,2.25
108,Lincoln Square,Multi 7+,102719.0,,175.0,65.0,36.0,2.87
111,Lincoln Square,Multi 7+,,4121.0,55.0,25.0,39.0,2.12
112,Logan Square,Single Family,,3199.0,107.0,74.0,4.0,1.49
114,Logan Square,Multi < 7,116874.0,,193.0,106.0,0.0,1.82
115,Logan Square,Single Family,3031.0,,33.0,15.0,120.0,2.36
116,Logan Square,Multi < 7,56703.0,,1.0,1.0,0.0,1.0
118,Logan Square,Single Family,,2769.0,36.0,18.0,119.0,2.0
127,McKinley Park,Single Family,,28230.0,23.0,7.0,0.0,3.14
128,Montclare,Multi < 7,,62.0,17.0,8.0,0.0,2.13
131,Near North Side,Multi < 7,32429.0,4301.0,36.0,18.0,116.0,2.0
146,New City,Single Family,12279.0,,35.0,19.0,105.5,2.19
150,New City,Single Family,10143.0,,48.0,35.0,135.0,1.92
152,North Center,Single Family,18999.0,,55.0,26.0,25.0,2.12
153,North Center,Multi < 7,,3646.0,61.0,36.0,109.0,1.69
154,North Lawndale,Multi < 7,5709.0,,49.0,22.0,82.0,2.72
159,North Park,Multi < 7,,4283.0,13.0,5.0,51.0,2.6
163,O'Hare,Multi 7+,145421.0,,275.0,208.0,31.0,1.4
164,Oakland,Multi < 7,46145.0,,421.0,190.0,0.0,2.41
166,Portage Park,Single Family,,12783.0,40.0,13.0,86.0,3.08
176,Roseland,Multi < 7,9789.0,,36.0,10.0,81.0,4.0
178,South Chicago,Single Family,46209.0,5576.0,0.0,0.0,98.2,0.0
181,South Chicago,Multi < 7,12890.0,,25.0,12.0,0.0,2.78
182,South Chicago,Multi < 7,,6377.0,30.0,12.0,84.0,2.5
187,South Chicago,Multi 7+,51044.0,,115.0,51.0,48.0,2.8
189,South Lawndale,Multi < 7,,2131.0,107.0,45.0,0.0,3.57
193,South Shore,Multi 7+,,2809.0,159.0,83.0,87.0,2.18
194,South Shore,Multi < 7,70074.0,,128.0,57.0,0.0,2.42
196,South Shore,Multi 7+,34997.0,,0.0,0.0,61.0,0.0
198,South Shore,Multi 7+,,1603.0,121.0,59.0,94.0,3.03
201,South Shore,Multi < 7,13484.0,4958.0,224.0,159.0,114.5,1.62
204,Uptown,Multi 7+,310671.0,,225.0,167.0,46.0,1.43
206,Uptown,Multi 7+,117247.0,,116.0,61.0,109.0,1.79
207,Grand Boulevard,Multi < 7,,3160.0,102.0,37.0,122.0,3.0
209,Austin,Multi < 7,33913.0,,116.0,50.0,0.0,2.7
213,Near North Side,Multi < 7,,1568.0,10.0,6.0,129.0,2.0
214,West Englewood,Multi < 7,,315.0,30.0,8.0,126.0,6.0
221,Englewood,Single Family,8195.0,,114.0,40.0,0.0,3.8
223,Fuller Park,Single Family,593.0,,85.0,38.0,121.5,3.15
225,Greater Grand Crossing,Multi < 7,,649.0,27.0,16.0,100.0,3.0
226,West Ridge,Multi 7+,73945.0,,30.0,7.0,40.0,4.29
227,West Ridge,Multi < 7,45458.0,,55.0,19.0,37.0,2.89
230,West Ridge,Multi < 7,204886.0,,169.0,92.0,32.0,2.14
232,Bridgeport,Multi 7+,8838.0,1986.0,156.0,74.0,123.0,2.56
235,Lincoln Park,Single Family,,272.0,56.0,31.0,99.0,2.0
237,Hyde Park,Multi 7+,39824.0,225.0,28.0,27.0,81.0,1.75
247,West Town,Multi 7+,,3590.0,97.0,53.0,111.0,1.98
248,West Town,Single Family,,1454.0,62.0,27.0,4.0,2.38
250,West Town,Multi < 7,,2542.0,125.0,55.0,10.0,2.78
252,Woodlawn,Multi < 7,,1722.0,297.0,244.0,26.0,1.3
255,Woodlawn,Multi < 7,,2804.0,0.0,4.0,114.0,0.0
257,Calumet Heights,Multi 7+,3615.0,1991.0,0.0,0.0,52.0,0.0
259,Albany Park,Multi 7+,201032.0,36822.0,132.0,64.0,65.5,2.2
260,Albany Park,Multi < 7,20608.0,755.0,132.0,64.0,86.0,2.2
261,Albany Park,Multi 7+,,11589.0,86.0,57.0,89.0,1.83
267,Auburn Gresham,Multi < 7,,1653.0,11.0,3.0,96.0,5.5
268,Austin,Single Family,2337.0,,56.0,23.0,86.0,3.29
269,Portage Park,Single Family,,16951.0,56.0,21.0,68.46,2.8
273,Avondale,Multi < 7,,4034.0,25.0,13.0,58.0,2.78
274,Belmont Cragin,Multi 7+,27007.0,,55.0,18.0,51.0,3.06
279,Brighton Park,Multi < 7,42952.0,12393.0,95.0,22.0,84.0,5.0
283,Calumet Heights,Multi < 7,20669.0,4291.0,20.0,8.0,83.0,2.5
285,Chatham,Multi 7+,66249.0,,117.0,75.0,48.0,1.7
288,Clearing,Multi < 7,12028.0,,17.0,12.0,43.0,1.55
289,Dunning,Single Family,11195.0,,54.0,23.0,53.0,2.84
290,East Garfield Park,Multi 7+,3287.0,,110.0,60.0,101.0,3.14
292,East Side,Single Family,,17133.0,37.0,18.0,52.88,2.31
294,Edgewater,Multi 7+,5576.0,,76.0,50.0,82.0,1.55
295,Englewood,Multi 7+,22666.0,,64.0,22.0,131.0,4.57
296,Englewood,Multi < 7,13552.0,,25.0,14.0,116.5,2.27
297,Englewood,Multi < 7,22978.0,8895.0,59.0,22.0,108.0,4.21
301,Fuller Park,Multi < 7,8503.0,,10.0,4.0,126.0,5.0
304,Montclare,Single Family,525936.0,,45.0,19.0,73.98,2.37
306,Garfield Ridge,Multi 7+,44112.0,,46.0,17.0,31.0,3.29
308,Garfield Ridge,Single Family,43332.0,,0.0,0.0,49.0,0.0
314,Greater Grand Crossing,Multi < 7,33568.0,,24.0,13.0,127.0,2.67
315,Hegewisch,Single Family,29737.0,7377.0,0.0,0.0,48.0,0.0
317,Hermosa,Single Family,,751.0,70.0,34.0,110.0,2.59
318,Hermosa,Single Family,30098.0,,26.0,9.0,6.0,2.89
323,Irving Park,Multi < 7,,16071.0,53.0,29.0,53.5,2.04
324,Roseland,Multi < 7,5880.0,,0.0,0.0,94.0,0.0
329,Jefferson Park,Single Family,7904.0,,2.0,2.0,40.0,1.0
330,Lakeview,Single Family,31686.0,3634.0,43.0,20.0,0.0,2.15
331,Lakeview,Multi < 7,,10186.0,42.0,25.0,0.0,2.1
332,Lakeview,Multi < 7,,1915.0,131.0,61.0,110.0,2.3
333,Lakeview,Multi 7+,10465.0,,45.0,23.0,12.0,2.14
337,Lakeview,Multi 7+,310867.0,,477.0,392.0,37.0,1.31
338,Lakeview,Multi 7+,,63906.0,328.0,257.0,78.0,1.34
342,Lincoln Park,Multi 7+,,102688.0,418.0,353.0,74.75,1.39
347,Lincoln Square,Multi < 7,,53.0,10.0,6.0,84.0,2.5
348,Lincoln Square,Single Family,11874.0,4762.0,126.0,46.0,0.0,2.93
349,Lincoln Square,Multi < 7,14263.0,,129.0,50.0,31.0,3.23
350,Logan Square,Multi 7+,,5066.0,53.0,30.0,103.0,1.77
351,Logan Square,Multi 7+,21335.0,3225.0,60.0,28.0,94.0,2.4
353,Logan Square,Multi 7+,14879.0,2660.0,0.0,0.0,119.0,0.0
354,Logan Square,Single Family,,2862.0,34.0,22.0,117.5,1.89
355,Logan Square,Multi < 7,23952.0,7471.0,21.0,9.0,110.0,2.33
360,Montclare,Multi 7+,,1005.0,0.0,0.0,0.0,0.0
361,Morgan Park,Multi < 7,,1174.0,21.0,12.0,2.0,3.5
362,Morgan Park,Multi < 7,,119.0,1.0,5.0,108.0,1.0
373,Near West Side,Multi < 7,3389.0,,24.0,9.0,131.0,4.8
375,New City,Multi < 7,,1746.0,19.0,12.0,93.0,3.8
383,Norwood Park,Multi < 7,,16223.0,48.0,37.0,85.0,1.41
384,Norwood Park,Multi 7+,27609.0,6383.0,83.0,52.0,49.0,1.77
385,Clearing,Multi < 7,,8885.0,106.0,41.0,49.25,2.65
397,Austin,Multi 7+,36166.0,10761.0,170.0,62.0,86.0,3.33
398,Englewood,Multi 7+,2516.0,,105.0,61.0,87.0,3.18
401,Lincoln Park,Multi 7+,18566.0,,881.0,679.0,0.0,1.45
402,Austin,Multi < 7,19102.0,4163.0,47.0,12.0,0.0,3.92
404,Lincoln Square,Multi 7+,117921.0,,167.0,108.0,36.0,1.64
405,Norwood Park,Multi < 7,4695.0,4209.0,58.0,35.0,86.0,1.71
407,Belmont Cragin,Multi < 7,15732.0,2801.0,0.0,0.0,98.0,0.0
409,Gage Park,Multi < 7,9449.0,100.0,48.0,21.0,0.0,2.82
410,Gage Park,Single Family,,2380.0,18.0,4.0,50.0,4.5
414,Humboldt Park,Multi < 7,21978.0,4635.0,41.0,16.0,85.0,3.15
416,Lincoln Park,Multi 7+,17676.0,18617.0,345.0,203.0,0.0,1.81
419,Washington Park,Multi 7+,1114.0,,0.0,8.0,67.0,0.0
420,Washington Park,Multi < 7,,1737.0,3.0,1.0,117.0,3.0
433,West Pullman,Multi < 7,3862.0,,7.0,6.0,97.0,2.33
434,West Pullman,Multi < 7,17110.0,5661.0,46.0,14.0,85.0,3.29
435,West Pullman,Multi < 7,,1777.0,26.0,7.0,101.0,3.71
438,West Pullman,Multi < 7,3028.0,,12.0,11.0,99.5,2.4
439,West Ridge,Multi < 7,,1243.0,103.0,51.0,99.0,2.02
440,West Ridge,Single Family,,25772.0,145.0,42.0,0.0,3.45
442,West Ridge,Multi < 7,159787.0,,67.0,24.0,31.0,2.45
445,West Ridge,Multi 7+,,6993.0,135.0,72.0,46.0,2.05
451,West Town,Multi < 7,,7497.0,20.0,8.0,0.0,2.86
456,Woodlawn,Multi < 7,34733.0,,82.0,56.0,0.0,1.61
458,Woodlawn,Multi < 7,604.0,,0.0,63.0,0.0,0.0
461,Woodlawn,Multi < 7,10381.0,,0.0,0.0,0.0,0.0
463,Woodlawn,Single Family,,4810.0,74.0,48.0,5.0,1.8
464,Albany Park,Multi 7+,16752.0,14653.0,228.0,79.0,86.0,3.51
465,Albany Park,Multi < 7,244341.0,51590.0,228.0,79.0,87.69,3.51
467,Albany Park,Multi 7+,25300.0,9485.0,231.0,70.0,92.0,3.73
468,Albany Park,Multi < 7,65982.0,14139.0,231.0,70.0,87.0,3.73
469,Albany Park,Single Family,61020.0,6065.0,132.0,64.0,14.33,2.2
476,Dunning,Multi 7+,97348.0,,36.0,19.0,40.0,2.0
479,Ashburn,Single Family,35585.0,5843.0,18.0,5.0,56.0,3.6
481,Auburn Gresham,Single Family,101958.0,,91.0,43.0,0.0,3.37
485,Austin,Multi < 7,10602.0,,90.0,28.0,101.0,3.46
486,Portage Park,Multi < 7,,3637.0,56.0,21.0,81.5,2.8
492,Austin,Single Family,30572.0,7498.0,28.0,13.0,54.0,2.33
494,Avondale,Single Family,,434.0,186.0,60.0,100.0,3.21
497,Avondale,Multi < 7,,3589.0,0.0,0.0,0.0,0.0
500,Belmont Cragin,Multi 7+,5885.0,2159.0,53.0,18.0,81.0,2.94
501,Belmont Cragin,Single Family,,3377.0,56.0,15.0,84.5,3.73
508,Chatham,Multi < 7,34537.0,,43.0,39.0,0.0,1.39
509,Chicago Lawn,Multi < 7,,1059.0,144.0,91.0,107.0,1.62
513,Clearing,Multi 7+,54997.0,,62.0,37.0,44.0,1.72
516,Douglas,Multi < 7,18076.0,4007.0,28.0,16.0,0.0,2.15
517,East Garfield Park,Multi 7+,,3117.0,29.0,6.0,101.0,5.8
518,East Side,Multi < 7,,15328.0,50.0,21.0,79.0,2.63
521,Edgewater,Multi 7+,9022.0,3654.0,98.0,35.0,83.0,3.16
522,Lower West Side,Single Family,9428.0,,18.0,10.0,106.0,2.57
523,Forest Glen,Single Family,59821.0,10351.0,35.0,9.0,50.0,3.89
524,Montclare,Multi < 7,33712.0,,45.0,19.0,71.75,2.37
528,Grand Boulevard,Single Family,1644.0,,0.0,0.0,117.0,0.0
529,Greater Grand Crossing,Single Family,5329.0,,0.0,0.0,0.0,0.0
531,Greater Grand Crossing,Multi 7+,9750.0,,40.0,34.0,103.0,4.44
536,Humboldt Park,Single Family,15051.0,,28.0,7.0,101.0,5.6
538,Hyde Park,Multi 7+,,272585.0,423.0,332.0,85.5,1.35
543,Kenwood,Single Family,34756.0,7684.0,75.0,52.0,119.0,2.68
544,Lakeview,Multi < 7,6177.0,170.0,0.0,0.0,0.0,0.0
547,Lakeview,Multi < 7,16073.0,2473.0,99.0,54.0,129.0,1.94
550,Lincoln Park,Single Family,14275.0,,81.0,36.0,0.0,2.38
551,Lincoln Park,Single Family,18571.0,5086.0,74.0,38.0,0.0,2.0
554,Logan Square,Multi 7+,38897.0,,96.0,69.0,80.0,1.66
566,Avalon Park,Multi < 7,9501.0,1467.0,2.0,1.0,84.0,2.0
569,Edgewater,Single Family,70230.0,2473.0,236.0,168.0,4.0,1.55
573,New City,Multi < 7,,1012.0,55.0,13.0,91.0,5.5
578,North Center,Single Family,,2067.0,40.0,24.0,114.0,2.0
579,North Center,Multi < 7,43287.0,,19.0,13.0,2.0,1.73
587,Norwood Park,Single Family,58550.0,,12.0,8.0,54.86,3.0
588,West Town,Multi < 7,,2221.0,49.0,32.0,131.0,1.96
590,Portage Park,Multi < 7,15456.0,3973.0,29.0,12.0,19.5,2.42
595,Rogers Park,Multi < 7,8252.0,,129.0,66.0,89.0,2.19
596,Rogers Park,Multi 7+,30417.0,,282.0,93.0,47.0,2.94
597,Roseland,Multi < 7,16943.0,,5.0,3.0,0.0,2.5
598,Roseland,Single Family,34949.0,,0.0,0.0,90.0,0.0
601,South Chicago,Multi < 7,14149.0,2599.0,130.0,26.0,111.0,3.52
604,South Lawndale,Single Family,,3201.0,92.0,36.0,55.0,3.68
606,South Shore,Single Family,13153.0,,24.0,12.0,102.0,3.43
607,Washington Heights,Multi < 7,45672.0,,38.0,9.0,102.5,6.33
609,West Elsdon,Multi < 7,,1683.0,37.0,9.0,68.0,4.5
610,West Englewood,Multi < 7,25537.0,9067.0,98.0,19.0,101.0,4.15
611,West Englewood,Multi < 7,17660.0,,39.0,10.0,98.0,4.88
614,West Englewood,Multi < 7,5904.0,,27.0,12.0,97.0,4.5
620,West Pullman,Multi < 7,,1496.0,28.0,12.0,96.0,4.0
621,West Pullman,Multi < 7,,2706.0,11.0,8.0,103.5,2.75
623,West Ridge,Multi 7+,117022.0,,26.0,11.0,54.0,2.6
629,West Town,Single Family,8222.0,,51.0,26.0,114.0,2.04
631,Albany Park,Single Family,79663.0,14780.0,231.0,70.0,88.89,3.73
633,Albany Park,Multi 7+,63378.0,25518.0,456.0,180.0,76.0,2.73
636,Albany Park,Multi < 7,9643.0,,28.0,10.0,110.0,2.8
638,Dunning,Single Family,22185.0,,29.0,14.0,110.0,2.07
640,Ashburn,Multi 7+,69038.0,,25.0,20.0,41.0,1.47
644,Austin,Multi < 7,9722.0,4803.0,31.0,10.0,111.0,3.44
645,Austin,Multi < 7,9935.0,7108.0,64.0,16.0,83.0,4.0
651,Avondale,Multi < 7,,445.0,45.0,26.0,0.0,2.25
655,Belmont Cragin,Single Family,38629.0,2792.0,35.0,10.0,0.0,3.5
662,Bridgeport,Multi < 7,808.0,,3.0,4.0,132.0,1.5
665,Burnside,Multi < 7,11968.0,,41.0,22.0,117.0,3.15
666,Calumet Heights,Multi < 7,13902.0,3167.0,6.0,3.0,127.0,6.0
668,Chatham,Multi 7+,15144.0,7265.0,124.0,75.0,47.0,2.64
670,Chatham,Multi < 7,37996.0,,7.0,4.0,0.0,1.75
672,Chicago Lawn,Multi 7+,4010.0,,55.0,43.0,46.0,1.72
673,Chicago Lawn,Multi < 7,13872.0,,14.0,4.0,84.0,4.67
675,East Garfield Park,Multi < 7,31432.0,5188.0,13.0,6.0,98.0,3.25
677,East Side,Multi < 7,7925.0,4398.0,71.0,22.0,104.5,3.23
678,East Side,Multi < 7,,3779.0,57.0,20.0,117.0,3.17
679,East Side,Single Family,,14929.0,36.0,17.0,60.73,2.12
684,Englewood,Multi < 7,239.0,,4.0,7.0,121.0,2.0
686,Lower West Side,Single Family,,2024.0,44.0,25.0,126.0,2.0
687,Forest Glen,Multi < 7,14889.0,3063.0,31.0,17.0,76.0,2.07
688,Grand Boulevard,Single Family,16100.0,2763.0,44.0,21.0,0.0,2.44
689,Grand Boulevard,Multi 7+,,4471.0,102.0,37.0,2.0,3.0
691,Grand Boulevard,Multi 7+,3747.0,,15.0,9.0,97.0,1.88
693,Greater Grand Crossing,Multi < 7,36376.0,3918.0,0.0,0.0,26.0,0.0
694,Greater Grand Crossing,Multi < 7,17724.0,3497.0,47.0,23.0,45.0,2.24
696,Hermosa,Multi 7+,22575.0,497.0,91.0,32.0,81.0,3.14
697,Ashburn,Multi 7+,27165.0,,42.0,16.0,43.0,2.63
705,Jefferson Park,Single Family,,7431.0,41.0,17.0,86.2,2.93
706,Kenwood,Multi 7+,1253.0,,253.0,188.0,96.0,1.76
707,Lakeview,Single Family,23795.0,1060.0,93.0,55.0,0.0,1.98
719,Lincoln Square,Multi < 7,34770.0,,18.0,12.0,80.0,2.25
724,Lincoln Square,Single Family,48794.0,,78.0,56.0,2.0,1.42
733,Lower West Side,Multi < 7,,7274.0,44.0,22.0,76.67,3.14
734,West Lawn,Multi < 7,48641.0,,85.0,20.0,47.0,4.25
735,McKinley Park,Multi 7+,50589.0,5148.0,0.0,0.0,86.0,0.0
736,Mount Greenwood,Multi 7+,120581.0,,55.0,25.0,0.0,2.39
746,New City,Multi < 7,64550.0,7143.0,12.0,7.0,0.0,2.4
747,New City,Single Family,,1712.0,46.0,11.0,71.0,5.11
750,North Lawndale,Multi < 7,36452.0,,0.0,0.0,100.5,0.0
754,North Lawndale,Multi 7+,,4432.0,14.0,22.0,0.0,3.5
756,North Lawndale,Single Family,,2141.0,96.0,49.0,4.0,3.43
757,North Lawndale,Multi 7+,,1365.0,197.0,82.0,88.0,3.52
760,Norwood Park,Single Family,65541.0,,22.0,8.0,60.88,3.14
766,South Shore,Multi < 7,12161.0,384.0,25.0,30.0,0.0,1.56
767,Uptown,Multi < 7,20623.0,1391.0,144.0,125.0,0.0,1.29
768,Portage Park,Multi 7+,34883.0,,59.0,20.0,43.0,3.11
772,Roseland,Single Family,19836.0,,0.0,0.0,103.0,0.0
773,Roseland,Multi < 7,,3123.0,20.0,7.0,117.0,6.67
784,West Elsdon,Single Family,,19952.0,75.0,20.0,52.95,3.75
785,Washington Heights,Multi < 7,4329.0,,81.0,20.0,94.0,4.05
786,West Englewood,Multi < 7,1235.0,,35.0,11.0,101.0,3.89
788,West Englewood,Multi < 7,8814.0,,42.0,15.0,121.0,3.5
790,West Englewood,Multi < 7,23385.0,,58.0,27.0,82.0,3.41
791,West Lawn,Multi < 7,23918.0,3775.0,26.0,11.0,51.0,2.36
792,West Pullman,Multi < 7,,1471.0,34.0,9.0,111.0,3.78
794,West Ridge,Single Family,27865.0,5949.0,0.0,0.0,0.0,0.0
795,West Town,Multi 7+,11169.0,3468.0,80.0,58.0,84.0,1.74
799,West Garfield Park,Multi < 7,5151.0,,7.0,5.0,88.0,1.75
800,West Town,Multi < 7,7708.0,,161.0,111.0,0.0,1.48
801,West Town,Single Family,,1750.0,37.0,19.0,119.0,1.95
802,Woodlawn,Single Family,15970.0,,22.0,16.0,102.0,1.83
805,Albany Park,Multi 7+,100191.0,16191.0,73.0,30.0,80.0,3.17
807,Albany Park,Single Family,7070.0,1948.0,73.0,30.0,0.0,3.17
810,Albany Park,Multi < 7,142707.0,40087.0,208.0,68.0,87.83,3.25
811,Chatham,Multi < 7,,95.0,49.0,36.0,45.0,1.36
812,Lakeview,Multi 7+,637702.0,,156.0,144.0,86.0,1.2
814,Archer Heights,Single Family,,16990.0,89.0,24.0,67.91,3.87
817,Auburn Gresham,Multi < 7,20835.0,4795.0,0.0,4.0,52.0,0.0
818,Gage Park,Multi < 7,40555.0,9948.0,0.0,0.0,85.0,0.0
821,Austin,Multi < 7,10096.0,,22.0,7.0,88.0,3.67
825,Austin,Multi 7+,34964.0,553.0,14.0,15.0,82.0,1.17
826,Austin,Single Family,4181.0,,25.0,12.0,96.0,5.0
828,Avondale,Multi 7+,6765.0,2633.0,43.0,25.0,0.0,2.69
833,Belmont Cragin,Multi < 7,16032.0,4368.0,118.0,26.0,89.0,4.72
836,Belmont Cragin,Multi < 7,,5864.0,85.0,43.0,83.0,2.66
839,Belmont Cragin,Multi < 7,7136.0,4900.0,63.0,14.0,52.0,4.5
848,Bridgeport,Single Family,68652.0,9444.0,25.0,12.0,18.75,2.27
849,Bridgeport,Single Family,20026.0,4054.0,76.0,29.0,89.67,2.92
855,Chatham,Multi 7+,6576.0,,30.0,15.0,84.0,2.14
856,Chatham,Multi < 7,5065.0,,29.0,16.0,0.0,1.93
857,Chatham,Multi 7+,28130.0,8451.0,51.0,34.0,81.0,1.65
858,Chatham,Multi < 7,14990.0,10146.0,52.0,31.0,81.0,2.26
859,Chatham,Multi < 7,22499.0,3071.0,22.0,12.0,36.0,2.0
860,Chatham,Multi < 7,17904.0,4552.0,42.0,15.0,82.0,2.8
863,Chicago Lawn,Multi 7+,44797.0,,70.0,29.0,43.0,2.59
865,Chicago Lawn,Multi < 7,19829.0,2506.0,127.0,38.0,44.5,3.53
866,Chicago Lawn,Multi < 7,2097.0,,99.0,19.0,0.0,5.21
870,Clearing,Multi 7+,328681.0,,112.0,84.0,46.0,1.49
873,Douglas,Single Family,,16219.0,451.0,375.0,0.0,1.25
874,Dunning,Multi < 7,11936.0,4367.0,45.0,16.0,0.0,2.81
877,East Garfield Park,Multi < 7,16976.0,,2.0,1.0,0.0,2.0
878,East Side,Single Family,,5809.0,50.0,21.0,54.67,2.63
879,East Garfield Park,Multi 7+,,11975.0,28.0,17.0,116.0,2.0
880,East Garfield Park,Single Family,,1569.0,76.0,34.0,2.0,2.53
883,East Side,Multi < 7,10953.0,,67.0,18.0,69.0,3.94
890,Gage Park,Single Family,2841.0,,13.0,5.0,85.0,2.6
895,Garfield Ridge,Multi < 7,,1350.0,29.0,8.0,91.0,3.63
897,Greater Grand Crossing,Multi 7+,2847.0,,49.0,40.0,83.0,2.33
905,Humboldt Park,Single Family,6337.0,,5.0,4.0,96.0,1.67
909,Hyde Park,Multi 7+,726888.0,,295.0,173.0,39.0,1.86
917,Jefferson Park,Multi < 7,,2243.0,49.0,19.0,82.0,2.58
918,Jefferson Park,Single Family,,23520.0,65.0,24.0,59.1,2.83
921,Lakeview,Multi 7+,114360.0,,44.0,21.0,129.0,2.2
923,Lakeview,Single Family,22683.0,7111.0,715.0,759.0,0.0,1.22
924,Lakeview,Multi 7+,84283.0,,17.0,10.0,99.0,2.43
925,Lincoln Park,Multi < 7,,8205.0,4.0,3.0,0.0,2.0
930,Lincoln Park,Multi < 7,7803.0,3367.0,23.0,11.0,109.0,2.09
932,Lincoln Park,Multi 7+,,4626.0,580.0,390.0,96.0,1.5
934,Lincoln Park,Multi < 7,4626.0,,42.0,26.0,0.0,1.62
935,Lincoln Park,Multi < 7,34212.0,,119.0,52.0,125.0,2.33
937,Lincoln Square,Single Family,27724.0,12564.0,84.0,43.0,0.0,2.05
944,Logan Square,Single Family,46319.0,5006.0,0.0,2.0,11.0,0.0
947,Portage Park,Single Family,,26622.0,81.0,32.0,59.91,2.53
951,South Shore,Multi 7+,2186.0,,0.0,64.0,87.0,0.0
954,Portage Park,Multi < 7,,2318.0,84.0,30.0,90.0,2.9
956,Montclare,Multi 7+,28484.0,10112.0,0.0,0.0,79.0,0.0
957,South Chicago,Multi < 7,7792.0,,47.0,16.0,0.0,3.13
958,Morgan Park,Multi < 7,7276.0,,32.0,20.0,121.0,1.88
963,Near South Side,Multi 7+,,13150.0,184.0,127.0,12.0,1.47
964,Near West Side,Multi 7+,,3665.0,63.0,22.0,121.0,3.32
967,New City,Single Family,,3877.0,115.0,41.0,103.0,3.29
970,North Center,Multi < 7,9017.0,,39.0,19.0,109.0,2.17
972,North Lawndale,Multi 7+,13653.0,,54.0,15.0,92.0,4.15
973,North Lawndale,Single Family,4824.0,,52.0,24.0,111.0,2.6
974,Norwood Park,Multi < 7,13737.0,4670.0,38.0,12.0,87.0,3.45
975,Oakland,Multi < 7,57553.0,5239.0,41.0,22.0,4.0,2.41
979,West Englewood,Single Family,10127.0,,2.0,2.0,0.0,2.0
982,Rogers Park,Single Family,,4656.0,198.0,1.0,0.0,1.0
984,Roseland,Multi 7+,7253.0,,114.0,53.0,37.0,2.15
985,Rogers Park,Multi < 7,,1045.0,107.0,32.0,129.0,3.57
989,Roseland,Multi < 7,3697.0,,39.0,16.0,55.0,3.55
991,South Lawndale,Single Family,5442.0,,60.0,22.0,89.0,3.53
992,South Lawndale,Multi 7+,,11986.0,79.0,38.0,83.0,3.43
1001,Albany Park,Multi < 7,11257.0,3061.0,27.0,12.0,52.5,2.45
1005,South Shore,Multi 7+,,1846.0,0.0,0.0,86.0,0.0
1013,Armour Square,Multi 7+,82487.0,9149.0,43.0,14.0,21.0,3.31
